feature_label,feature_name,feature_count
0.1,file_num,1033
0.2,line_num,248468
0.3,macros,14668
0.4,def_functions,5784
0.5,def_classes,130
0.6,def_variables,34817
1.1,TEMPLATE_stl,548
1.2,TEMPLATE_template,5
1.3,TEMPLATE_lambda,0
1.4,TEMPLATE_namespace,34
1.5,TEMPLATE_macroconcat,101
2.1,CONCURRENCY_thread_local,0
2.2,CONCURRENCY_volatile,481
3.1,MEMORY_destructor,16
3.2,MEMORY_smartptr,0
3.3,MEMORY_directinit,2395
4.1,EXCEPTION_trycatch,0
4.2,EXCEPTION_noexcept,0
5.1,POLYMORPHISM_nestedclass,0
5.2,POLYMORPHISM_operator,133
5.3,POLYMORPHISM_function_overload,1510
5.4,POLYMORPHISM_virtual_override,20
5.5,POLYMORPHISM_castconvert,31
6.1,REFERENCE_friend,58
6.2,REFERENCE_this,360
6.3,REFERENCE_using,12
7.1,FUNCTION_variparams,24
8.1,TYPESYS_typedef,826
8.2,TYPESYS_union,62
8.3,TYPESYS_decltype,0
8.4,TYPESYS_using,0
8.5,TYPESYS_constexpr,6
