feature_label,feature_name,feature_count
0.1,file_num,1162
0.2,line_num,354579
0.3,macros,4296
0.4,def_functions,11879
0.5,def_classes,1734
0.6,def_variables,73982
1.1,TEMPLATE_stl,857
1.2,TEMPLATE_template,519
1.3,TEMPLATE_lambda,658
1.4,TEMPLATE_namespace,296
1.5,TEMPLATE_macroconcat,49
2.1,CONCURRENCY_thread_local,0
2.2,CONCURRENCY_volatile,12
3.1,MEMORY_destructor,482
3.2,MEMORY_smartptr,179
3.3,MEMORY_directinit,5215
4.1,EXCEPTION_trycatch,41
4.2,EXCEPTION_noexcept,202
5.1,POLYMORPHISM_nestedclass,69
5.2,POLYMORPHISM_operator,456
5.3,POLYMORPHISM_function_overload,2880
5.4,POLYMORPHISM_virtual_override,572
5.5,POLYMORPHISM_castconvert,973
6.1,REFERENCE_friend,148
6.2,REFERENCE_this,32870
6.3,REFERENCE_using,44
7.1,FUNCTION_variparams,38
8.1,TYPESYS_typedef,372
8.2,TYPESYS_union,16
8.3,TYPESYS_decltype,36
8.4,TYPESYS_using,497
8.5,TYPESYS_constexpr,49
