feature_label,feature_name,feature_count
0.1,file_num,828
0.2,line_num,472513
0.3,macros,6723
0.4,def_functions,11280
0.5,def_classes,136
0.6,def_variables,84987
1.1,TEMPLATE_stl,29
1.2,TEMPLATE_template,475
1.3,TEMPLATE_lambda,77
1.4,TEMPLATE_namespace,500
1.5,TEMPLATE_macroconcat,200
2.1,CONCURRENCY_thread_local,1
2.2,CONCURRENCY_volatile,28
3.1,MEMORY_destructor,268
3.2,MEMORY_smartptr,114
3.3,MEMORY_directinit,3935
4.1,EXCEPTION_trycatch,32
4.2,EXCEPTION_noexcept,0
5.1,POLYMORPHISM_nestedclass,6
5.2,POLYMORPHISM_operator,44
5.3,POLYMORPHISM_function_overload,4015
5.4,POLYMORPHISM_virtual_override,112
5.5,POLYMORPHISM_castconvert,993
6.1,REFERENCE_friend,11
6.2,REFERENCE_this,651
6.3,REFERENCE_using,223
7.1,FUNCTION_variparams,33
8.1,TYPESYS_typedef,2329
8.2,TYPESYS_union,32
8.3,TYPESYS_decltype,8
8.4,TYPESYS_using,6
8.5,TYPESYS_constexpr,0
