feature_label,feature_name,feature_count
0.1,file_num,1053
0.2,line_num,376815
0.3,macros,2064
0.4,def_functions,18630
0.5,def_classes,2408
0.6,def_variables,81178
1.1,TEMPLATE_stl,224
1.2,TEMPLATE_template,466
1.3,TEMPLATE_lambda,262
1.4,TEMPLATE_namespace,872
1.5,TEMPLATE_macroconcat,170
2.1,CONCURRENCY_thread_local,2
2.2,CONCURRENCY_volatile,0
3.1,MEMORY_destructor,1562
3.2,MEMORY_smartptr,154
3.3,MEMORY_directinit,12685
4.1,EXCEPTION_trycatch,711
4.2,EXCEPTION_noexcept,117
5.1,POLYMORPHISM_nestedclass,22
5.2,POLYMORPHISM_operator,1208
5.3,POLYMORPHISM_function_overload,4702
5.4,POLYMORPHISM_virtual_override,1109
5.5,POLYMORPHISM_castconvert,3249
6.1,REFERENCE_friend,51
6.2,REFERENCE_this,7720
6.3,REFERENCE_using,600
7.1,FUNCTION_variparams,232
8.1,TYPESYS_typedef,225
8.2,TYPESYS_union,10
8.3,TYPESYS_decltype,32
8.4,TYPESYS_using,352
8.5,TYPESYS_constexpr,86
