feature_label,feature_name,feature_count
0.1,file_num,277
0.2,line_num,79858
0.3,macros,3812
0.4,def_functions,2058
0.5,def_classes,154
0.6,def_variables,22753
1.1,TEMPLATE_stl,30
1.2,TEMPLATE_template,718
1.3,TEMPLATE_lambda,134
1.4,TEMPLATE_namespace,186
1.5,TEMPLATE_macroconcat,229
2.1,CONCURRENCY_thread_local,0
2.2,CONCURRENCY_volatile,32
3.1,MEMORY_destructor,60
3.2,MEMORY_smartptr,4
3.3,MEMORY_directinit,2287
4.1,EXCEPTION_trycatch,7
4.2,EXCEPTION_noexcept,0
5.1,POLYMORPHISM_nestedclass,4
5.2,POLYMORPHISM_operator,145
5.3,POLYMORPHISM_function_overload,1862
5.4,POLYMORPHISM_virtual_override,37
5.5,POLYMORPHISM_castconvert,126
6.1,REFERENCE_friend,31
6.2,REFERENCE_this,182
6.3,REFERENCE_using,4
7.1,FUNCTION_variparams,238
8.1,TYPESYS_typedef,1434
8.2,TYPESYS_union,21
8.3,TYPESYS_decltype,144
8.4,TYPESYS_using,277
8.5,TYPESYS_constexpr,188
