feature_label,feature_name,feature_count
0.1,file_num,2540
0.2,line_num,538195
0.3,macros,408
0.4,def_functions,14260
0.5,def_classes,3142
0.6,def_variables,139452
1.1,TEMPLATE_stl,544
1.2,TEMPLATE_template,1662
1.3,TEMPLATE_lambda,335
1.4,TEMPLATE_namespace,2462
1.5,TEMPLATE_macroconcat,2
2.1,CONCURRENCY_thread_local,1
2.2,CONCURRENCY_volatile,0
3.1,MEMORY_destructor,194
3.2,MEMORY_smartptr,5528
3.3,MEMORY_directinit,15323
4.1,EXCEPTION_trycatch,134
4.2,EXCEPTION_noexcept,57
5.1,POLYMORPHISM_nestedclass,236
5.2,POLYMORPHISM_operator,867
5.3,POLYMORPHISM_function_overload,5244
5.4,POLYMORPHISM_virtual_override,993
5.5,POLYMORPHISM_castconvert,1017
6.1,REFERENCE_friend,73
6.2,REFERENCE_this,2227
6.3,REFERENCE_using,635
7.1,FUNCTION_variparams,50
8.1,TYPESYS_typedef,738
8.2,TYPESYS_union,0
8.3,TYPESYS_decltype,4
8.4,TYPESYS_using,12
8.5,TYPESYS_constexpr,43
