feature_label,feature_name,feature_count
0.1,file_num,728
0.2,line_num,186248
0.3,macros,272
0.4,def_functions,5471
0.5,def_classes,673
0.6,def_variables,36869
1.1,TEMPLATE_stl,66
1.2,TEMPLATE_template,319
1.3,TEMPLATE_lambda,10
1.4,TEMPLATE_namespace,44
1.5,TEMPLATE_macroconcat,4
2.1,CONCURRENCY_thread_local,0
2.2,CONCURRENCY_volatile,0
3.1,MEMORY_destructor,482
3.2,MEMORY_smartptr,5
3.3,MEMORY_directinit,4345
4.1,EXCEPTION_trycatch,1
4.2,EXCEPTION_noexcept,5
5.1,POLYMORPHISM_nestedclass,11
5.2,POLYMORPHISM_operator,306
5.3,POLYMORPHISM_function_overload,2524
5.4,POLYMORPHISM_virtual_override,433
5.5,POLYMORPHISM_castconvert,1915
6.1,REFERENCE_friend,1
6.2,REFERENCE_this,20526
6.3,REFERENCE_using,5
7.1,FUNCTION_variparams,0
8.1,TYPESYS_typedef,35
8.2,TYPESYS_union,4
8.3,TYPESYS_decltype,0
8.4,TYPESYS_using,32
8.5,TYPESYS_constexpr,13
