feature_label,feature_name,feature_count
0.1,file_num,862
0.2,line_num,199392
0.3,macros,855
0.4,def_functions,9898
0.5,def_classes,564
0.6,def_variables,44862
1.1,TEMPLATE_stl,67
1.2,TEMPLATE_template,218
1.3,TEMPLATE_lambda,991
1.4,TEMPLATE_namespace,619
1.5,TEMPLATE_macroconcat,12
2.1,CONCURRENCY_thread_local,0
2.2,CONCURRENCY_volatile,5
3.1,MEMORY_destructor,212
3.2,MEMORY_smartptr,118
3.3,MEMORY_directinit,7146
4.1,EXCEPTION_trycatch,0
4.2,EXCEPTION_noexcept,1
5.1,POLYMORPHISM_nestedclass,6
5.2,POLYMORPHISM_operator,108
5.3,POLYMORPHISM_function_overload,3632
5.4,POLYMORPHISM_virtual_override,193
5.5,POLYMORPHISM_castconvert,2365
6.1,REFERENCE_friend,9
6.2,REFERENCE_this,549
6.3,REFERENCE_using,138
7.1,FUNCTION_variparams,7
8.1,TYPESYS_typedef,153
8.2,TYPESYS_union,1
8.3,TYPESYS_decltype,34
8.4,TYPESYS_using,118
8.5,TYPESYS_constexpr,284
