feature_label,feature_name,feature_count
0.1,file_num,1995
0.2,line_num,818447
0.3,macros,3950
0.4,def_functions,39361
0.5,def_classes,3532
0.6,def_variables,202068
1.1,TEMPLATE_stl,763
1.2,TEMPLATE_template,6014
1.3,TEMPLATE_lambda,2715
1.4,TEMPLATE_namespace,3365
1.5,TEMPLATE_macroconcat,967
2.1,CONCURRENCY_thread_local,2
2.2,CONCURRENCY_volatile,10
3.1,MEMORY_destructor,783
3.2,MEMORY_smartptr,8886
3.3,MEMORY_directinit,34857
4.1,EXCEPTION_trycatch,113
4.2,EXCEPTION_noexcept,701
5.1,POLYMORPHISM_nestedclass,45
5.2,POLYMORPHISM_operator,1812
5.3,POLYMORPHISM_function_overload,20866
5.4,POLYMORPHISM_virtual_override,3410
5.5,POLYMORPHISM_castconvert,10836
6.1,REFERENCE_friend,146
6.2,REFERENCE_this,9702
6.3,REFERENCE_using,2368
7.1,FUNCTION_variparams,230
8.1,TYPESYS_typedef,863
8.2,TYPESYS_union,14
8.3,TYPESYS_decltype,235
8.4,TYPESYS_using,3010
8.5,TYPESYS_constexpr,2731
