feature_label,feature_name,feature_count
0.1,file_num,1326
0.2,line_num,342855
0.3,macros,784
0.4,def_functions,12685
0.5,def_classes,1378
0.6,def_variables,73578
1.1,TEMPLATE_stl,828
1.2,TEMPLATE_template,814
1.3,TEMPLATE_lambda,1262
1.4,TEMPLATE_namespace,753
1.5,TEMPLATE_macroconcat,118
2.1,CONCURRENCY_thread_local,1
2.2,CONCURRENCY_volatile,21
3.1,MEMORY_destructor,431
3.2,MEMORY_smartptr,428
3.3,MEMORY_directinit,10581
4.1,EXCEPTION_trycatch,222
4.2,EXCEPTION_noexcept,604
5.1,POLYMORPHISM_nestedclass,15
5.2,POLYMORPHISM_operator,640
5.3,POLYMORPHISM_function_overload,3670
5.4,POLYMORPHISM_virtual_override,1063
5.5,POLYMORPHISM_castconvert,850
6.1,REFERENCE_friend,147
6.2,REFERENCE_this,1311
6.3,REFERENCE_using,263
7.1,FUNCTION_variparams,79
8.1,TYPESYS_typedef,577
8.2,TYPESYS_union,1
8.3,TYPESYS_decltype,51
8.4,TYPESYS_using,222
8.5,TYPESYS_constexpr,1299
