feature_label,feature_name,feature_count
0.1,file_num,1903
0.2,line_num,355731
0.3,macros,85
0.4,def_functions,19073
0.5,def_classes,2992
0.6,def_variables,84711
1.1,TEMPLATE_stl,669
1.2,TEMPLATE_template,177
1.3,TEMPLATE_lambda,438
1.4,TEMPLATE_namespace,3172
1.5,TEMPLATE_macroconcat,2
2.1,CONCURRENCY_thread_local,2
2.2,CONCURRENCY_volatile,0
3.1,MEMORY_destructor,2731
3.2,MEMORY_smartptr,885
3.3,MEMORY_directinit,5316
4.1,EXCEPTION_trycatch,0
4.2,EXCEPTION_noexcept,12
5.1,POLYMORPHISM_nestedclass,61
5.2,POLYMORPHISM_operator,1175
5.3,POLYMORPHISM_function_overload,6370
5.4,POLYMORPHISM_virtual_override,1108
5.5,POLYMORPHISM_castconvert,539
6.1,REFERENCE_friend,222
6.2,REFERENCE_this,1292
6.3,REFERENCE_using,611
7.1,FUNCTION_variparams,7
8.1,TYPESYS_typedef,46
8.2,TYPESYS_union,0
8.3,TYPESYS_decltype,0
8.4,TYPESYS_using,713
8.5,TYPESYS_constexpr,1442
