feature_label,feature_name,feature_count
0.1,file_num,1934
0.2,line_num,757524
0.3,macros,1820
0.4,def_functions,28115
0.5,def_classes,2702
0.6,def_variables,147567
1.1,TEMPLATE_stl,259
1.2,TEMPLATE_template,140
1.3,TEMPLATE_lambda,911
1.4,TEMPLATE_namespace,474
1.5,TEMPLATE_macroconcat,60
2.1,CONCURRENCY_thread_local,0
2.2,CONCURRENCY_volatile,0
3.1,MEMORY_destructor,1966
3.2,MEMORY_smartptr,36
3.3,MEMORY_directinit,13618
4.1,EXCEPTION_trycatch,12
4.2,EXCEPTION_noexcept,0
5.1,POLYMORPHISM_nestedclass,2
5.2,POLYMORPHISM_operator,286
5.3,POLYMORPHISM_function_overload,4144
5.4,POLYMORPHISM_virtual_override,1106
5.5,POLYMORPHISM_castconvert,2337
6.1,REFERENCE_friend,32
6.2,REFERENCE_this,4506
6.3,REFERENCE_using,313
7.1,FUNCTION_variparams,55
8.1,TYPESYS_typedef,261
8.2,TYPESYS_union,19
8.3,TYPESYS_decltype,5
8.4,TYPESYS_using,21
8.5,TYPESYS_constexpr,0
