feature_label,feature_name,feature_count
0.1,file_num,26
0.2,line_num,699
0.3,macros,3
0.4,def_functions,78
0.5,def_classes,26
0.6,def_variables,267
1.1,TEMPLATE_stl,6
1.2,TEMPLATE_template,11
1.3,TEMPLATE_lambda,4
1.4,TEMPLATE_namespace,5
1.5,TEMPLATE_macroconcat,2
2.1,CONCURRENCY_thread_local,7
2.2,CONCURRENCY_volatile,7
3.1,MEMORY_destructor,4
3.2,MEMORY_smartptr,8
3.3,MEMORY_directinit,51
4.1,EXCEPTION_trycatch,1
4.2,EXCEPTION_noexcept,6
5.1,POLYMORPHISM_nestedclass,0
5.2,POLYMORPHISM_operator,6
5.3,POLYMORPHISM_function_overload,0
5.4,POLYMORPHISM_virtual_override,0
5.5,POLYMORPHISM_castconvert,8
6.1,REFERENCE_friend,3
6.2,REFERENCE_this,6
6.3,REFERENCE_using,3
7.1,FUNCTION_variparams,3
8.1,TYPESYS_typedef,5
8.2,TYPESYS_union,3
8.3,TYPESYS_decltype,3
8.4,TYPESYS_using,7
8.5,TYPESYS_constexpr,7
