feature_label,feature_name,feature_count
0.1,file_num,2238
0.2,line_num,313747
0.3,macros,1212
0.4,def_functions,16975
0.5,def_classes,2167
0.6,def_variables,104382
1.1,TEMPLATE_stl,24
1.2,TEMPLATE_template,4661
1.3,TEMPLATE_lambda,435
1.4,TEMPLATE_namespace,2214
1.5,TEMPLATE_macroconcat,1
2.1,CONCURRENCY_thread_local,0
2.2,CONCURRENCY_volatile,0
3.1,MEMORY_destructor,451
3.2,MEMORY_smartptr,774
3.3,MEMORY_directinit,10530
4.1,EXCEPTION_trycatch,75
4.2,EXCEPTION_noexcept,76
5.1,POLYMORPHISM_nestedclass,11
5.2,POLYMORPHISM_operator,368
5.3,POLYMORPHISM_function_overload,6321
5.4,POLYMORPHISM_virtual_override,745
5.5,POLYMORPHISM_castconvert,1087
6.1,REFERENCE_friend,113
6.2,REFERENCE_this,1849
6.3,REFERENCE_using,146
7.1,FUNCTION_variparams,119
8.1,TYPESYS_typedef,240
8.2,TYPESYS_union,6
8.3,TYPESYS_decltype,8
8.4,TYPESYS_using,410
8.5,TYPESYS_constexpr,3875
