feature_label,feature_name,feature_count
0.1,file_num,998
0.2,line_num,397143
0.3,macros,1485
0.4,def_functions,20397
0.5,def_classes,1093
0.6,def_variables,63436
1.1,TEMPLATE_stl,366
1.2,TEMPLATE_template,4834
1.3,TEMPLATE_lambda,132
1.4,TEMPLATE_namespace,756
1.5,TEMPLATE_macroconcat,86
2.1,CONCURRENCY_thread_local,0
2.2,CONCURRENCY_volatile,436
3.1,MEMORY_destructor,404
3.2,MEMORY_smartptr,136
3.3,MEMORY_directinit,20096
4.1,EXCEPTION_trycatch,23
4.2,EXCEPTION_noexcept,74
5.1,POLYMORPHISM_nestedclass,26
5.2,POLYMORPHISM_operator,2076
5.3,POLYMORPHISM_function_overload,16421
5.4,POLYMORPHISM_virtual_override,90
5.5,POLYMORPHISM_castconvert,2217
6.1,REFERENCE_friend,297
6.2,REFERENCE_this,2708
6.3,REFERENCE_using,152
7.1,FUNCTION_variparams,240
8.1,TYPESYS_typedef,2833
8.2,TYPESYS_union,12
8.3,TYPESYS_decltype,92
8.4,TYPESYS_using,1083
8.5,TYPESYS_constexpr,861
