feature_label,feature_name,feature_count
0.1,file_num,203
0.2,line_num,105985
0.3,macros,208
0.4,def_functions,7922
0.5,def_classes,207
0.6,def_variables,30078
1.1,TEMPLATE_stl,67
1.2,TEMPLATE_template,676
1.3,TEMPLATE_lambda,260
1.4,TEMPLATE_namespace,375
1.5,TEMPLATE_macroconcat,18
2.1,CONCURRENCY_thread_local,0
2.2,CONCURRENCY_volatile,0
3.1,MEMORY_destructor,121
3.2,MEMORY_smartptr,45
3.3,MEMORY_directinit,5293
4.1,EXCEPTION_trycatch,0
4.2,EXCEPTION_noexcept,7
5.1,POLYMORPHISM_nestedclass,65
5.2,POLYMORPHISM_operator,531
5.3,POLYMORPHISM_function_overload,1880
5.4,POLYMORPHISM_virtual_override,371
5.5,POLYMORPHISM_castconvert,1712
6.1,REFERENCE_friend,10
6.2,REFERENCE_this,217
6.3,REFERENCE_using,68
7.1,FUNCTION_variparams,1
8.1,TYPESYS_typedef,438
8.2,TYPESYS_union,3
8.3,TYPESYS_decltype,29
8.4,TYPESYS_using,75
8.5,TYPESYS_constexpr,127
