feature_label,feature_name,feature_count
0.1,file_num,1219
0.2,line_num,712106
0.3,macros,4350
0.4,def_functions,27745
0.5,def_classes,1211
0.6,def_variables,150127
1.1,TEMPLATE_stl,282
1.2,TEMPLATE_template,3896
1.3,TEMPLATE_lambda,1521
1.4,TEMPLATE_namespace,546
1.5,TEMPLATE_macroconcat,90
2.1,CONCURRENCY_thread_local,40
2.2,CONCURRENCY_volatile,115
3.1,MEMORY_destructor,604
3.2,MEMORY_smartptr,128
3.3,MEMORY_directinit,13487
4.1,EXCEPTION_trycatch,1437
4.2,EXCEPTION_noexcept,401
5.1,POLYMORPHISM_nestedclass,54
5.2,POLYMORPHISM_operator,1295
5.3,POLYMORPHISM_function_overload,8745
5.4,POLYMORPHISM_virtual_override,2387
5.5,POLYMORPHISM_castconvert,1757
6.1,REFERENCE_friend,152
6.2,REFERENCE_this,3446
6.3,REFERENCE_using,112
7.1,FUNCTION_variparams,390
8.1,TYPESYS_typedef,913
8.2,TYPESYS_union,50
8.3,TYPESYS_decltype,318
8.4,TYPESYS_using,731
8.5,TYPESYS_constexpr,1402
