feature_label,feature_name,feature_count
0.1,file_num,2355
0.2,line_num,3071766
0.3,macros,49889
0.4,def_functions,81234
0.5,def_classes,6222
0.6,def_variables,503585
1.1,TEMPLATE_stl,23
1.2,TEMPLATE_template,1641
1.3,TEMPLATE_lambda,44
1.4,TEMPLATE_namespace,620
1.5,TEMPLATE_macroconcat,1155
2.1,CONCURRENCY_thread_local,0
2.2,CONCURRENCY_volatile,34
3.1,MEMORY_destructor,529
3.2,MEMORY_smartptr,7
3.3,MEMORY_directinit,31180
4.1,EXCEPTION_trycatch,0
4.2,EXCEPTION_noexcept,0
5.1,POLYMORPHISM_nestedclass,59
5.2,POLYMORPHISM_operator,582
5.3,POLYMORPHISM_function_overload,20515
5.4,POLYMORPHISM_virtual_override,1525
5.5,POLYMORPHISM_castconvert,1481
6.1,REFERENCE_friend,91
6.2,REFERENCE_this,14542
6.3,REFERENCE_using,63
7.1,FUNCTION_variparams,417
8.1,TYPESYS_typedef,2475
8.2,TYPESYS_union,724
8.3,TYPESYS_decltype,8
8.4,TYPESYS_using,65
8.5,TYPESYS_constexpr,209
