feature_label,feature_name,feature_count
0.1,file_num,2745
0.2,line_num,1241040
0.3,macros,17703
0.4,def_functions,49083
0.5,def_classes,3537
0.6,def_variables,331961
1.1,TEMPLATE_stl,40
1.2,TEMPLATE_template,910
1.3,TEMPLATE_lambda,57
1.4,TEMPLATE_namespace,216
1.5,TEMPLATE_macroconcat,302
2.1,CONCURRENCY_thread_local,58
2.2,CONCURRENCY_volatile,5
3.1,MEMORY_destructor,1649
3.2,MEMORY_smartptr,8
3.3,MEMORY_directinit,8819
4.1,EXCEPTION_trycatch,0
4.2,EXCEPTION_noexcept,0
5.1,POLYMORPHISM_nestedclass,64
5.2,POLYMORPHISM_operator,887
5.3,POLYMORPHISM_function_overload,13912
5.4,POLYMORPHISM_virtual_override,2661
5.5,POLYMORPHISM_castconvert,2822
6.1,REFERENCE_friend,379
6.2,REFERENCE_this,6399
6.3,REFERENCE_using,69
7.1,FUNCTION_variparams,472
8.1,TYPESYS_typedef,717
8.2,TYPESYS_union,99
8.3,TYPESYS_decltype,2
8.4,TYPESYS_using,99
8.5,TYPESYS_constexpr,146
