feature_label,feature_name,feature_count
0.1,file_num,1966
0.2,line_num,435098
0.3,macros,715
0.4,def_functions,30080
0.5,def_classes,1418
0.6,def_variables,142095
1.1,TEMPLATE_stl,314
1.2,TEMPLATE_template,1106
1.3,TEMPLATE_lambda,1037
1.4,TEMPLATE_namespace,1415
1.5,TEMPLATE_macroconcat,3
2.1,CONCURRENCY_thread_local,31
2.2,CONCURRENCY_volatile,8
3.1,MEMORY_destructor,822
3.2,MEMORY_smartptr,162
3.3,MEMORY_directinit,7614
4.1,EXCEPTION_trycatch,0
4.2,EXCEPTION_noexcept,243
5.1,POLYMORPHISM_nestedclass,214
5.2,POLYMORPHISM_operator,710
5.3,POLYMORPHISM_function_overload,3364
5.4,POLYMORPHISM_virtual_override,1232
5.5,POLYMORPHISM_castconvert,2710
6.1,REFERENCE_friend,79
6.2,REFERENCE_this,2022
6.3,REFERENCE_using,91
7.1,FUNCTION_variparams,78
8.1,TYPESYS_typedef,1195
8.2,TYPESYS_union,151
8.3,TYPESYS_decltype,91
8.4,TYPESYS_using,850
8.5,TYPESYS_constexpr,440
