feature_label,feature_name,feature_count
0.1,file_num,1840
0.2,line_num,365673
0.3,macros,7503
0.4,def_functions,23082
0.5,def_classes,2966
0.6,def_variables,105451
1.1,TEMPLATE_stl,119
1.2,TEMPLATE_template,4118
1.3,TEMPLATE_lambda,264
1.4,TEMPLATE_namespace,2199
1.5,TEMPLATE_macroconcat,205
2.1,CONCURRENCY_thread_local,0
2.2,CONCURRENCY_volatile,50
3.1,MEMORY_destructor,664
3.2,MEMORY_smartptr,381
3.3,MEMORY_directinit,9842
4.1,EXCEPTION_trycatch,37
4.2,EXCEPTION_noexcept,5
5.1,POLYMORPHISM_nestedclass,81
5.2,POLYMORPHISM_operator,1251
5.3,POLYMORPHISM_function_overload,10663
5.4,POLYMORPHISM_virtual_override,200
5.5,POLYMORPHISM_castconvert,3344
6.1,REFERENCE_friend,431
6.2,REFERENCE_this,2164
6.3,REFERENCE_using,687
7.1,FUNCTION_variparams,265
8.1,TYPESYS_typedef,1851
8.2,TYPESYS_union,95
8.3,TYPESYS_decltype,37
8.4,TYPESYS_using,332
8.5,TYPESYS_constexpr,766
