feature_label,feature_name,feature_count
0.1,file_num,456
0.2,line_num,138822
0.3,macros,2825
0.4,def_functions,3620
0.5,def_classes,183
0.6,def_variables,18262
1.1,TEMPLATE_stl,132
1.2,TEMPLATE_template,1487
1.3,TEMPLATE_lambda,148
1.4,TEMPLATE_namespace,199
1.5,TEMPLATE_macroconcat,60
2.1,CONCURRENCY_thread_local,3
2.2,CONCURRENCY_volatile,31
3.1,MEMORY_destructor,59
3.2,MEMORY_smartptr,25
3.3,MEMORY_directinit,4311
4.1,EXCEPTION_trycatch,71
4.2,EXCEPTION_noexcept,621
5.1,POLYMORPHISM_nestedclass,8
5.2,POLYMORPHISM_operator,545
5.3,POLYMORPHISM_function_overload,2355
5.4,POLYMORPHISM_virtual_override,88
5.5,POLYMORPHISM_castconvert,2278
6.1,REFERENCE_friend,110
6.2,REFERENCE_this,655
6.3,REFERENCE_using,215
7.1,FUNCTION_variparams,78
8.1,TYPESYS_typedef,12
8.2,TYPESYS_union,1
8.3,TYPESYS_decltype,274
8.4,TYPESYS_using,1177
8.5,TYPESYS_constexpr,323
