feature_label,feature_name,feature_count
0.1,file_num,133
0.2,line_num,28881
0.3,macros,39
0.4,def_functions,1776
0.5,def_classes,226
0.6,def_variables,7480
1.1,TEMPLATE_stl,30
1.2,TEMPLATE_template,27
1.3,TEMPLATE_lambda,2
1.4,TEMPLATE_namespace,173
1.5,TEMPLATE_macroconcat,5
2.1,CONCURRENCY_thread_local,0
2.2,CONCURRENCY_volatile,0
3.1,MEMORY_destructor,133
3.2,MEMORY_smartptr,1
3.3,MEMORY_directinit,784
4.1,EXCEPTION_trycatch,0
4.2,EXCEPTION_noexcept,5
5.1,POLYMORPHISM_nestedclass,4
5.2,POLYMORPHISM_operator,50
5.3,POLYMORPHISM_function_overload,448
5.4,POLYMORPHISM_virtual_override,312
5.5,POLYMORPHISM_castconvert,236
6.1,REFERENCE_friend,14
6.2,REFERENCE_this,50
6.3,REFERENCE_using,24
7.1,FUNCTION_variparams,3
8.1,TYPESYS_typedef,25
8.2,TYPESYS_union,0
8.3,TYPESYS_decltype,3
8.4,TYPESYS_using,3
8.5,TYPESYS_constexpr,39
