feature_label,feature_name,feature_count
0.1,file_num,4230
0.2,line_num,1799107
0.3,macros,96568
0.4,def_functions,54520
0.5,def_classes,127
0.6,def_variables,396350
1.1,TEMPLATE_stl,1087
1.2,TEMPLATE_template,0
1.3,TEMPLATE_lambda,2
1.4,TEMPLATE_namespace,0
1.5,TEMPLATE_macroconcat,2741
2.1,CONCURRENCY_thread_local,0
2.2,CONCURRENCY_volatile,174
3.1,MEMORY_destructor,0
3.2,MEMORY_smartptr,0
3.3,MEMORY_directinit,22640
4.1,EXCEPTION_trycatch,0
4.2,EXCEPTION_noexcept,0
5.1,POLYMORPHISM_nestedclass,2
5.2,POLYMORPHISM_operator,0
5.3,POLYMORPHISM_function_overload,12340
5.4,POLYMORPHISM_virtual_override,433
5.5,POLYMORPHISM_castconvert,0
6.1,REFERENCE_friend,0
6.2,REFERENCE_this,252
6.3,REFERENCE_using,0
7.1,FUNCTION_variparams,244
8.1,TYPESYS_typedef,1067
8.2,TYPESYS_union,1326
8.3,TYPESYS_decltype,0
8.4,TYPESYS_using,0
8.5,TYPESYS_constexpr,0
