feature_label,feature_name,feature_count
0.1,file_num,2343
0.2,line_num,1751123
0.3,macros,11025
0.4,def_functions,82630
0.5,def_classes,6819
0.6,def_variables,429567
1.1,TEMPLATE_stl,356
1.2,TEMPLATE_template,3227
1.3,TEMPLATE_lambda,3018
1.4,TEMPLATE_namespace,3735
1.5,TEMPLATE_macroconcat,1221
2.1,CONCURRENCY_thread_local,0
2.2,CONCURRENCY_volatile,1237
3.1,MEMORY_destructor,990
3.2,MEMORY_smartptr,829
3.3,MEMORY_directinit,60051
4.1,EXCEPTION_trycatch,0
4.2,EXCEPTION_noexcept,59
5.1,POLYMORPHISM_nestedclass,96
5.2,POLYMORPHISM_operator,1376
5.3,POLYMORPHISM_function_overload,38956
5.4,POLYMORPHISM_virtual_override,3751
5.5,POLYMORPHISM_castconvert,11403
6.1,REFERENCE_friend,1612
6.2,REFERENCE_this,10044
6.3,REFERENCE_using,2999
7.1,FUNCTION_variparams,194
8.1,TYPESYS_typedef,1237
8.2,TYPESYS_union,79
8.3,TYPESYS_decltype,62
8.4,TYPESYS_using,2092
8.5,TYPESYS_constexpr,766
