feature_label,feature_name,feature_count
0.1,file_num,780
0.2,line_num,196747
0.3,macros,392
0.4,def_functions,6545
0.5,def_classes,736
0.6,def_variables,40182
1.1,TEMPLATE_stl,121
1.2,TEMPLATE_template,212
1.3,TEMPLATE_lambda,393
1.4,TEMPLATE_namespace,779
1.5,TEMPLATE_macroconcat,7
2.1,CONCURRENCY_thread_local,3
2.2,CONCURRENCY_volatile,8
3.1,MEMORY_destructor,288
3.2,MEMORY_smartptr,140
3.3,MEMORY_directinit,4536
4.1,EXCEPTION_trycatch,171
4.2,EXCEPTION_noexcept,9
5.1,POLYMORPHISM_nestedclass,25
5.2,POLYMORPHISM_operator,74
5.3,POLYMORPHISM_function_overload,2533
5.4,POLYMORPHISM_virtual_override,293
5.5,POLYMORPHISM_castconvert,580
6.1,REFERENCE_friend,12
6.2,REFERENCE_this,1560
6.3,REFERENCE_using,113
7.1,FUNCTION_variparams,20
8.1,TYPESYS_typedef,154
8.2,TYPESYS_union,2
8.3,TYPESYS_decltype,3
8.4,TYPESYS_using,125
8.5,TYPESYS_constexpr,114
