feature_label,feature_name,feature_count
0.1,file_num,1100
0.2,line_num,339105
0.3,macros,1421
0.4,def_functions,10369
0.5,def_classes,608
0.6,def_variables,89334
1.1,TEMPLATE_stl,700
1.2,TEMPLATE_template,3724
1.3,TEMPLATE_lambda,1954
1.4,TEMPLATE_namespace,2137
1.5,TEMPLATE_macroconcat,283
2.1,CONCURRENCY_thread_local,62
2.2,CONCURRENCY_volatile,152
3.1,MEMORY_destructor,196
3.2,MEMORY_smartptr,118
3.3,MEMORY_directinit,10926
4.1,EXCEPTION_trycatch,33
4.2,EXCEPTION_noexcept,27
5.1,POLYMORPHISM_nestedclass,15
5.2,POLYMORPHISM_operator,491
5.3,POLYMORPHISM_function_overload,3362
5.4,POLYMORPHISM_virtual_override,876
5.5,POLYMORPHISM_castconvert,3596
6.1,REFERENCE_friend,60
6.2,REFERENCE_this,1502
6.3,REFERENCE_using,1922
7.1,FUNCTION_variparams,102
8.1,TYPESYS_typedef,394
8.2,TYPESYS_union,7
8.3,TYPESYS_decltype,13
8.4,TYPESYS_using,306
8.5,TYPESYS_constexpr,247
