feature_label,feature_name,feature_count
0.1,file_num,1526
0.2,line_num,907822
0.3,macros,1077
0.4,def_functions,32022
0.5,def_classes,5417
0.6,def_variables,172151
1.1,TEMPLATE_stl,332
1.2,TEMPLATE_template,1303
1.3,TEMPLATE_lambda,610
1.4,TEMPLATE_namespace,1106
1.5,TEMPLATE_macroconcat,16
2.1,CONCURRENCY_thread_local,15
2.2,CONCURRENCY_volatile,18
3.1,MEMORY_destructor,1005
3.2,MEMORY_smartptr,932
3.3,MEMORY_directinit,19525
4.1,EXCEPTION_trycatch,293
4.2,EXCEPTION_noexcept,203
5.1,POLYMORPHISM_nestedclass,19
5.2,POLYMORPHISM_operator,821
5.3,POLYMORPHISM_function_overload,11283
5.4,POLYMORPHISM_virtual_override,5066
5.5,POLYMORPHISM_castconvert,5560
6.1,REFERENCE_friend,248
6.2,REFERENCE_this,3494
6.3,REFERENCE_using,430
7.1,FUNCTION_variparams,377
8.1,TYPESYS_typedef,1105
8.2,TYPESYS_union,31
8.3,TYPESYS_decltype,148
8.4,TYPESYS_using,442
8.5,TYPESYS_constexpr,585
