feature_label,feature_name,feature_count
0.1,file_num,2330
0.2,line_num,1206679
0.3,macros,34096
0.4,def_functions,53494
0.5,def_classes,3317
0.6,def_variables,324174
1.1,TEMPLATE_stl,378
1.2,TEMPLATE_template,7688
1.3,TEMPLATE_lambda,780
1.4,TEMPLATE_namespace,4465
1.5,TEMPLATE_macroconcat,4100
2.1,CONCURRENCY_thread_local,2
2.2,CONCURRENCY_volatile,182
3.1,MEMORY_destructor,1524
3.2,MEMORY_smartptr,329
3.3,MEMORY_directinit,36260
4.1,EXCEPTION_trycatch,574
4.2,EXCEPTION_noexcept,578
5.1,POLYMORPHISM_nestedclass,48
5.2,POLYMORPHISM_operator,2834
5.3,POLYMORPHISM_function_overload,27844
5.4,POLYMORPHISM_virtual_override,1247
5.5,POLYMORPHISM_castconvert,9303
6.1,REFERENCE_friend,350
6.2,REFERENCE_this,5054
6.3,REFERENCE_using,1291
7.1,FUNCTION_variparams,836
8.1,TYPESYS_typedef,3928
8.2,TYPESYS_union,152
8.3,TYPESYS_decltype,162
8.4,TYPESYS_using,1118
8.5,TYPESYS_constexpr,1491
