feature_label,feature_name,feature_count
0.1,file_num,1489
0.2,line_num,386952
0.3,macros,1715
0.4,def_functions,12202
0.5,def_classes,1000
0.6,def_variables,74326
1.1,TEMPLATE_stl,223
1.2,TEMPLATE_template,4163
1.3,TEMPLATE_lambda,219
1.4,TEMPLATE_namespace,1499
1.5,TEMPLATE_macroconcat,3
2.1,CONCURRENCY_thread_local,0
2.2,CONCURRENCY_volatile,44
3.1,MEMORY_destructor,603
3.2,MEMORY_smartptr,70
3.3,MEMORY_directinit,12619
4.1,EXCEPTION_trycatch,126
4.2,EXCEPTION_noexcept,327
5.1,POLYMORPHISM_nestedclass,27
5.2,POLYMORPHISM_operator,837
5.3,POLYMORPHISM_function_overload,4440
5.4,POLYMORPHISM_virtual_override,603
5.5,POLYMORPHISM_castconvert,6088
6.1,REFERENCE_friend,97
6.2,REFERENCE_this,2177
6.3,REFERENCE_using,1964
7.1,FUNCTION_variparams,62
8.1,TYPESYS_typedef,5
8.2,TYPESYS_union,15
8.3,TYPESYS_decltype,8
8.4,TYPESYS_using,3232
8.5,TYPESYS_constexpr,341
