feature_label,feature_name,feature_count
0.1,file_num,1346
0.2,line_num,131268
0.3,macros,2053
0.4,def_functions,5310
0.5,def_classes,792
0.6,def_variables,27891
1.1,TEMPLATE_stl,144
1.2,TEMPLATE_template,415
1.3,TEMPLATE_lambda,618
1.4,TEMPLATE_namespace,1042
1.5,TEMPLATE_macroconcat,111
2.1,CONCURRENCY_thread_local,3
2.2,CONCURRENCY_volatile,0
3.1,MEMORY_destructor,160
3.2,MEMORY_smartptr,232
3.3,MEMORY_directinit,2917
4.1,EXCEPTION_trycatch,60
4.2,EXCEPTION_noexcept,492
5.1,POLYMORPHISM_nestedclass,13
5.2,POLYMORPHISM_operator,312
5.3,POLYMORPHISM_function_overload,1987
5.4,POLYMORPHISM_virtual_override,373
5.5,POLYMORPHISM_castconvert,634
6.1,REFERENCE_friend,91
6.2,REFERENCE_this,677
6.3,REFERENCE_using,181
7.1,FUNCTION_variparams,158
8.1,TYPESYS_typedef,172
8.2,TYPESYS_union,4
8.3,TYPESYS_decltype,28
8.4,TYPESYS_using,312
8.5,TYPESYS_constexpr,437
