feature_label,feature_name,feature_count
0.1,file_num,2492
0.2,line_num,1268854
0.3,macros,12541
0.4,def_functions,27677
0.5,def_classes,249
0.6,def_variables,215479
1.1,TEMPLATE_stl,7
1.2,TEMPLATE_template,1
1.3,TEMPLATE_lambda,0
1.4,TEMPLATE_namespace,2
1.5,TEMPLATE_macroconcat,217
2.1,CONCURRENCY_thread_local,0
2.2,CONCURRENCY_volatile,117
3.1,MEMORY_destructor,209
3.2,MEMORY_smartptr,0
3.3,MEMORY_directinit,7553
4.1,EXCEPTION_trycatch,64
4.2,EXCEPTION_noexcept,9
5.1,POLYMORPHISM_nestedclass,0
5.2,POLYMORPHISM_operator,12
5.3,POLYMORPHISM_function_overload,3062
5.4,POLYMORPHISM_virtual_override,169
5.5,POLYMORPHISM_castconvert,192
6.1,REFERENCE_friend,12
6.2,REFERENCE_this,437
6.3,REFERENCE_using,2
7.1,FUNCTION_variparams,181
8.1,TYPESYS_typedef,2235
8.2,TYPESYS_union,203
8.3,TYPESYS_decltype,0
8.4,TYPESYS_using,1
8.5,TYPESYS_constexpr,0
