feature_label,feature_name,feature_count
0.1,file_num,1162
0.2,line_num,624808
0.3,macros,2229
0.4,def_functions,25247
0.5,def_classes,2835
0.6,def_variables,150102
1.1,TEMPLATE_stl,598
1.2,TEMPLATE_template,1442
1.3,TEMPLATE_lambda,1822
1.4,TEMPLATE_namespace,1574
1.5,TEMPLATE_macroconcat,209
2.1,CONCURRENCY_thread_local,26
2.2,CONCURRENCY_volatile,2
3.1,MEMORY_destructor,1031
3.2,MEMORY_smartptr,2901
3.3,MEMORY_directinit,20341
4.1,EXCEPTION_trycatch,13
4.2,EXCEPTION_noexcept,83
5.1,POLYMORPHISM_nestedclass,72
5.2,POLYMORPHISM_operator,657
5.3,POLYMORPHISM_function_overload,9085
5.4,POLYMORPHISM_virtual_override,4099
5.5,POLYMORPHISM_castconvert,6148
6.1,REFERENCE_friend,225
6.2,REFERENCE_this,1602
6.3,REFERENCE_using,748
7.1,FUNCTION_variparams,72
8.1,TYPESYS_typedef,597
8.2,TYPESYS_union,10
8.3,TYPESYS_decltype,17
8.4,TYPESYS_using,413
8.5,TYPESYS_constexpr,1778
