feature_label,feature_name,feature_count
0.1,file_num,144
0.2,line_num,29866
0.3,macros,355
0.4,def_functions,2062
0.5,def_classes,202
0.6,def_variables,8067
1.1,TEMPLATE_stl,20
1.2,TEMPLATE_template,1094
1.3,TEMPLATE_lambda,76
1.4,TEMPLATE_namespace,174
1.5,TEMPLATE_macroconcat,3
2.1,CONCURRENCY_thread_local,1
2.2,CONCURRENCY_volatile,1
3.1,MEMORY_destructor,42
3.2,MEMORY_smartptr,51
3.3,MEMORY_directinit,1406
4.1,EXCEPTION_trycatch,7
4.2,EXCEPTION_noexcept,138
5.1,POLYMORPHISM_nestedclass,1
5.2,POLYMORPHISM_operator,140
5.3,POLYMORPHISM_function_overload,984
5.4,POLYMORPHISM_virtual_override,106
5.5,POLYMORPHISM_castconvert,488
6.1,REFERENCE_friend,22
6.2,REFERENCE_this,146
6.3,REFERENCE_using,110
7.1,FUNCTION_variparams,137
8.1,TYPESYS_typedef,1
8.2,TYPESYS_union,5
8.3,TYPESYS_decltype,118
8.4,TYPESYS_using,365
8.5,TYPESYS_constexpr,287
