feature_label,feature_name,feature_count
0.1,file_num,300
0.2,line_num,193695
0.3,macros,4939
0.4,def_functions,7823
0.5,def_classes,606
0.6,def_variables,37973
1.1,TEMPLATE_stl,106
1.2,TEMPLATE_template,552
1.3,TEMPLATE_lambda,280
1.4,TEMPLATE_namespace,208
1.5,TEMPLATE_macroconcat,12
2.1,CONCURRENCY_thread_local,0
2.2,CONCURRENCY_volatile,0
3.1,MEMORY_destructor,375
3.2,MEMORY_smartptr,23
3.3,MEMORY_directinit,5576
4.1,EXCEPTION_trycatch,14
4.2,EXCEPTION_noexcept,468
5.1,POLYMORPHISM_nestedclass,3
5.2,POLYMORPHISM_operator,374
5.3,POLYMORPHISM_function_overload,2783
5.4,POLYMORPHISM_virtual_override,148
5.5,POLYMORPHISM_castconvert,1903
6.1,REFERENCE_friend,43
6.2,REFERENCE_this,1261
6.3,REFERENCE_using,67
7.1,FUNCTION_variparams,32
8.1,TYPESYS_typedef,145
8.2,TYPESYS_union,5
8.3,TYPESYS_decltype,79
8.4,TYPESYS_using,279
8.5,TYPESYS_constexpr,102
