feature_label,feature_name,feature_count
0.1,file_num,2346
0.2,line_num,1478938
0.3,macros,4086
0.4,def_functions,67572
0.5,def_classes,7932
0.6,def_variables,354689
1.1,TEMPLATE_stl,174
1.2,TEMPLATE_template,4045
1.3,TEMPLATE_lambda,5662
1.4,TEMPLATE_namespace,3469
1.5,TEMPLATE_macroconcat,2349
2.1,CONCURRENCY_thread_local,0
2.2,CONCURRENCY_volatile,17
3.1,MEMORY_destructor,947
3.2,MEMORY_smartptr,330
3.3,MEMORY_directinit,47305
4.1,EXCEPTION_trycatch,0
4.2,EXCEPTION_noexcept,80
5.1,POLYMORPHISM_nestedclass,101
5.2,POLYMORPHISM_operator,2277
5.3,POLYMORPHISM_function_overload,17434
5.4,POLYMORPHISM_virtual_override,3645
5.5,POLYMORPHISM_castconvert,12411
6.1,REFERENCE_friend,1890
6.2,REFERENCE_this,8226
6.3,REFERENCE_using,2811
7.1,FUNCTION_variparams,513
8.1,TYPESYS_typedef,703
8.2,TYPESYS_union,140
8.3,TYPESYS_decltype,252
8.4,TYPESYS_using,3305
8.5,TYPESYS_constexpr,1218
