feature_label,feature_name,feature_count
0.1,file_num,1821
0.2,line_num,382698
0.3,macros,3488
0.4,def_functions,12588
0.5,def_classes,2056
0.6,def_variables,86043
1.1,TEMPLATE_stl,362
1.2,TEMPLATE_template,3738
1.3,TEMPLATE_lambda,900
1.4,TEMPLATE_namespace,3303
1.5,TEMPLATE_macroconcat,2184
2.1,CONCURRENCY_thread_local,1
2.2,CONCURRENCY_volatile,6
3.1,MEMORY_destructor,344
3.2,MEMORY_smartptr,546
3.3,MEMORY_directinit,16524
4.1,EXCEPTION_trycatch,21
4.2,EXCEPTION_noexcept,4
5.1,POLYMORPHISM_nestedclass,155
5.2,POLYMORPHISM_operator,1057
5.3,POLYMORPHISM_function_overload,5197
5.4,POLYMORPHISM_virtual_override,2730
5.5,POLYMORPHISM_castconvert,3258
6.1,REFERENCE_friend,24
6.2,REFERENCE_this,1268
6.3,REFERENCE_using,419
7.1,FUNCTION_variparams,10
8.1,TYPESYS_typedef,978
8.2,TYPESYS_union,2
8.3,TYPESYS_decltype,58
8.4,TYPESYS_using,621
8.5,TYPESYS_constexpr,2424
