feature_label,feature_name,feature_count
0.1,file_num,207
0.2,line_num,183264
0.3,macros,1594
0.4,def_functions,6158
0.5,def_classes,249
0.6,def_variables,36727
1.1,TEMPLATE_stl,151
1.2,TEMPLATE_template,1015
1.3,TEMPLATE_lambda,136
1.4,TEMPLATE_namespace,58
1.5,TEMPLATE_macroconcat,29
2.1,CONCURRENCY_thread_local,10
2.2,CONCURRENCY_volatile,10
3.1,MEMORY_destructor,129
3.2,MEMORY_smartptr,249
3.3,MEMORY_directinit,3545
4.1,EXCEPTION_trycatch,89
4.2,EXCEPTION_noexcept,449
5.1,POLYMORPHISM_nestedclass,20
5.2,POLYMORPHISM_operator,435
5.3,POLYMORPHISM_function_overload,3045
5.4,POLYMORPHISM_virtual_override,134
5.5,POLYMORPHISM_castconvert,952
6.1,REFERENCE_friend,62
6.2,REFERENCE_this,775
6.3,REFERENCE_using,51
7.1,FUNCTION_variparams,73
8.1,TYPESYS_typedef,276
8.2,TYPESYS_union,14
8.3,TYPESYS_decltype,105
8.4,TYPESYS_using,439
8.5,TYPESYS_constexpr,390
