feature_label,feature_name,feature_count
0.1,file_num,2294
0.2,line_num,640567
0.3,macros,3650
0.4,def_functions,31089
0.5,def_classes,3087
0.6,def_variables,153974
1.1,TEMPLATE_stl,580
1.2,TEMPLATE_template,15607
1.3,TEMPLATE_lambda,1518
1.4,TEMPLATE_namespace,2253
1.5,TEMPLATE_macroconcat,224
2.1,CONCURRENCY_thread_local,4
2.2,CONCURRENCY_volatile,23
3.1,MEMORY_destructor,754
3.2,MEMORY_smartptr,356
3.3,MEMORY_directinit,17210
4.1,EXCEPTION_trycatch,278
4.2,EXCEPTION_noexcept,319
5.1,POLYMORPHISM_nestedclass,423
5.2,POLYMORPHISM_operator,2781
5.3,POLYMORPHISM_function_overload,17461
5.4,POLYMORPHISM_virtual_override,2434
5.5,POLYMORPHISM_castconvert,3534
6.1,REFERENCE_friend,258
6.2,REFERENCE_this,5575
6.3,REFERENCE_using,967
7.1,FUNCTION_variparams,415
8.1,TYPESYS_typedef,4754
8.2,TYPESYS_union,35
8.3,TYPESYS_decltype,320
8.4,TYPESYS_using,884
8.5,TYPESYS_constexpr,745
